,new_cases,china new cases
2020-07-27 00:00:00,145,81
2020-07-28 00:00:00,106,111
2020-07-29 00:00:00,118,81
2020-07-30 00:00:00,149,136
2020-07-31 00:00:00,121,20
2020-08-01 00:00:00,124,66
2020-08-02 00:00:00,115,59
2020-08-03 00:00:00,78,41
2020-08-04 00:00:00,80,46
2020-08-05 00:00:00,85,61
2020-08-06 00:00:00,95,56
2020-08-07 00:00:00,89,45
2020-08-08 00:00:00,69,37
2020-08-09 00:00:00,72,60
2020-08-10 00:00:00,69,72
2020-08-11 00:00:00,33,34
2020-08-12 00:00:00,62,43
2020-08-13 00:00:00,69,50
2020-08-14 00:00:00,48,50
2020-08-15 00:00:00,46,38
2020-08-16 00:00:00,74,37
2020-08-17 00:00:00,44,58
2020-08-18 00:00:00,36,34
2020-08-19 00:00:00,26,19
2020-08-20 00:00:00,18,44
2020-08-21 00:00:00,27,42
2020-08-22 00:00:00,26,45
2020-08-23 00:00:00,25,31
2020-08-24 00:00:00,9,40
2020-08-25 00:00:00,19,31
2020-08-26 00:00:00,24,17
2020-08-27 00:00:00,21,27
2020-08-28 00:00:00,13,23
2020-08-29 00:00:00,18,16
2020-08-30 00:00:00,15,21
2020-08-31 00:00:00,9,29
2020-09-01 00:00:00,12,41
2020-09-02 00:00:00,8,31
2020-09-03 00:00:00,8,35
2020-09-04 00:00:00,12,34
2020-09-05 00:00:00,7,18
2020-09-06 00:00:00,21,28
2020-09-07 00:00:00,11,25
2020-09-08 00:00:00,6,14
2020-09-09 00:00:00,6,14
2020-09-10 00:00:00,12,30
2020-09-11 00:00:00,12,27
2020-09-12 00:00:00,13,17
2020-09-13 00:00:00,19,80
2020-09-14 00:00:00,14,46
2020-09-15 00:00:00,4,19
2020-09-16 00:00:00,9,23
2020-09-17 00:00:00,9,46
2020-09-18 00:00:00,3,32
2020-09-19 00:00:00,13,34
2020-09-20 00:00:00,23,33
2020-09-21 00:00:00,6,31
2020-09-22 00:00:00,8,25
